iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MNG,Asia,Mongolia,2022-10-22,984253.0,0.0,42.143,2131.0,0.0,0.0,294001.521,0.0,12.588,636.541,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3347782.0,,,,
MNE,Europe,Montenegro,2022-10-22,282241.0,56.0,68.0,2785.0,0.0,0.143,449529.273,89.192,108.305,4435.709,0.0,0.228,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627859.0,,,,
MSR,North America,Montserrat,2022-10-22,1403.0,0.0,0.0,8.0,0.0,0.0,317636.405,0.0,0.0,1811.184,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.16,,4417.0,,,,
MAR,Africa,Morocco,2022-10-22,1265382.0,19.0,25.857,16280.0,0.0,0.286,34128.872,0.512,0.697,439.091,0.0,0.008,1.33,,,,,,,,,,,,,,,,,,55299169.0,25007235.0,23504945.0,6884702.0,,1352.0,149.15,67.45,63.4,18.57,36.0,192.0,0.001,,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37076584.0,,,,
MOZ,Africa,Mozambique,2022-10-22,230370.0,0.0,0.0,2224.0,0.0,0.0,7181.765,0.0,0.0,69.333,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,13530206.0,13115491.0,,,,,42.18,40.89,,,3089.0,0.01,,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32077072.0,,,,
MMR,Asia,Myanmar,2022-10-22,630445.0,262.0,303.286,19475.0,2.0,0.714,11718.726,4.87,5.637,362.002,0.037,0.013,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,53798084.0,,,,
NAM,Africa,Namibia,2022-10-22,169874.0,621.0,177.429,4080.0,0.0,0.0,67139.866,245.44,70.126,1612.552,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,958674.0,593597.0,516624.0,159381.0,,206.0,37.89,23.46,20.42,6.3,81.0,127.0,0.005,,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2530151.0,,,,
NRU,Oceania,Nauru,2022-10-22,4611.0,0.0,0.0,1.0,0.0,0.0,368526.215,0.0,0.0,79.923,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,25172.0,11522.0,8585.0,5065.0,,12.0,201.18,92.09,68.61,40.48,959.0,10.0,0.08,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12512.0,,,,
NPL,Asia,Nepal,2022-10-22,1000416.0,43.0,41.857,12018.0,0.0,0.0,33308.352,1.432,1.394,400.133,0.0,0.0,1.15,,,,,,,,,,,,,,,,,,59014127.0,27291282.0,23310071.0,8412774.0,,45988.0,196.48,90.86,77.61,28.01,1531.0,5071.0,0.017,,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30034989.0,,,,
NLD,Europe,Netherlands,2022-10-22,8505486.0,7002.0,2667.857,22858.0,23.0,7.143,485980.673,400.076,152.434,1306.045,1.314,0.408,1.24,56.0,3.2,1123.0,64.165,65.0,3.714,1114.0,63.651,,,,,,,,,,,,,,,,,,,,,,,,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17501696.0,,,,
NCL,Oceania,New Caledonia,2022-10-22,74377.0,0.0,4.429,314.0,0.0,0.0,258432.94,0.0,15.388,1091.035,0.0,0.0,,,,,,,,,,,,,,,,,,,469464.0,191617.0,184077.0,93770.0,,12.0,163.12,66.58,63.96,32.58,42.0,3.0,0.001,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,287800.0,,,,
NZL,Oceania,New Zealand,2022-10-22,1814974.0,0.0,2041.286,2065.0,10.0,1.429,353814.861,0.0,397.933,402.555,1.949,0.278,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5129728.0,,,,
NIC,North America,Nicaragua,2022-10-22,15145.0,0.0,3.571,245.0,0.0,0.0,2210.775,0.0,0.521,35.764,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,11867540.0,6090477.0,5777063.0,,,2950.0,173.24,88.91,84.33,,431.0,930.0,0.014,,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6850540.0,,,,
