iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-10-22,202026.0,77.0,132.857,7818.0,0.0,1.0,5038.122,1.92,3.313,194.965,0.0,0.025,0.91,,,,,,,,,,,,,,,,,,11977773.0,11012345.0,10328057.0,,,4839.0,29.87,27.46,25.76,,121.0,4634.0,0.012,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,40099462.0,,,,
OWID_AFR,,Africa,2022-10-22,12373402.0,165.0,851.857,256888.0,0.0,4.286,8886.421,0.119,0.612,184.494,0.0,0.003,,,,,,,,,,,,,,,,,,,663611561.0,418700620.0,337428692.0,53285378.0,342365.0,110096.0,47.66,30.07,24.23,3.83,79.0,2324.0,0.0,,,,,,,,,,,,,,,,1392394303.0,,,,
ALB,Europe,Albania,2022-10-22,332754.0,15.0,19.286,3592.0,0.0,0.143,116563.154,5.254,6.756,1258.271,0.0,0.05,0.74,,,,,,,,,,,,,,,,,,2991576.0,1339100.0,1265900.0,363122.0,,635.0,104.79,46.91,44.34,12.72,222.0,73.0,0.003,,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2854710.0,,,,
DZA,Africa,Algeria,2022-10-22,270771.0,0.0,5.286,6881.0,0.0,0.0,6129.096,0.0,0.12,155.756,0.0,0.0,1.31,1.0,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44177969.0,,,,
AND,Europe,Andorra,2022-10-22,46449.0,0.0,11.857,155.0,0.0,0.0,587709.087,0.0,150.026,1961.181,0.0,0.0,0.24,,,,,,,,,,,,,,,,,,154320.0,57898.0,53482.0,42940.0,,3.0,195.26,73.26,67.67,54.33,38.0,0.0,0.0,,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79034.0,,,,
AGO,Africa,Angola,2022-10-22,103131.0,0.0,0.0,1917.0,0.0,0.0,2988.977,0.0,0.0,55.559,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,22696229.0,14220830.0,7814121.0,1127156.0,,10293.0,65.78,41.22,22.65,3.27,298.0,0.0,0.0,,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,34503774.0,,,,
AIA,North America,Anguilla,2022-10-22,3866.0,0.0,0.0,12.0,0.0,0.0,245413.572,0.0,0.0,761.76,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15753.0,,,,
ATG,North America,Antigua and Barbuda,2022-10-22,9106.0,0.0,0.0,146.0,0.0,0.0,97682.901,0.0,0.0,1566.188,0.0,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93220.0,,,,
ARG,South America,Argentina,2022-10-22,9715464.0,1870.0,267.143,129970.0,12.0,1.714,214579.394,41.302,5.9,2870.566,0.265,0.038,1.1,,,,,,,,,,,,,,,,,,109808670.0,41339066.0,37830430.0,30960949.0,10977.0,8784.0,242.53,91.3,83.55,68.38,194.0,806.0,0.002,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45276780.0,,,,
ARM,Asia,Armenia,2022-10-22,444869.0,387.0,55.286,8706.0,0.0,0.857,159395.609,138.661,19.809,3119.341,0.0,0.307,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2790974.0,,,,
ABW,North America,Aruba,2022-10-22,43291.0,0.0,0.0,232.0,0.0,0.0,406350.905,0.0,0.0,2177.668,0.0,0.0,,,,,,,,,,,,,,,,,,,173650.0,89924.0,83726.0,,17.0,8.0,163.0,84.41,78.59,,75.0,5.0,0.005,,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106536.0,,,,
OWID_ASI,,Asia,2022-10-22,188194513.0,120592.0,124007.571,1490345.0,225.0,237.0,40099.099,25.695,26.423,317.552,0.048,0.05,,,,,,,,,,,,,,,,,,,8759546875.0,3617863698.0,3395507222.0,1686880988.0,1769902.0,1483783.0,186.64,77.09,72.35,35.94,316.0,518805.0,0.011,,,,,,,,,,,,,,,,4693235454.0,,,,
AUS,Oceania,Australia,2022-10-22,10342827.0,949.0,4728.857,15569.0,39.0,13.429,399012.055,36.611,182.433,600.631,1.505,0.518,1.16,42.0,1.62,1433.0,55.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,25921089.0,,,,
AUT,Europe,Austria,2022-10-22,5387830.0,8096.0,9765.143,20980.0,0.0,8.286,603875.867,907.412,1094.491,2351.469,0.0,0.929,0.86,125.0,14.01,2339.0,262.159,,,,,,,,,,,,,,19682504.0,6890276.0,,6164300.0,22774.0,17202.0,220.6,77.23,,69.09,1928.0,114.0,0.001,,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8922082.0,,,,
AZE,Asia,Azerbaijan,2022-10-22,822908.0,56.0,52.857,9937.0,2.0,0.857,79793.333,5.43,5.125,963.542,0.194,0.083,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10312992.0,,,,
BHS,North America,Bahamas,2022-10-22,37342.0,0.0,1.143,833.0,0.0,0.0,91545.601,0.0,2.802,2042.137,0.0,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,407906.0,,,,
BHR,Asia,Bahrain,2022-10-22,687353.0,207.0,297.714,1524.0,0.0,0.143,469739.248,141.464,203.459,1041.506,0.0,0.098,0.96,,,,,,,,,,,,,,,,,,3472956.0,1240806.0,1226294.0,1005856.0,80.0,87.0,237.34,84.8,83.81,68.74,59.0,10.0,0.001,,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1463265.0,,,,
BGD,Asia,Bangladesh,2022-10-22,2034002.0,124.0,272.857,29412.0,1.0,2.429,12010.197,0.732,1.611,173.669,0.006,0.014,0.7,,,,,,,,,,,,,,,,,,315846938.0,135233348.0,123896251.0,57234395.0,,416715.0,186.5,79.85,73.16,33.8,2461.0,247665.0,0.146,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,169356251.0,,,,
BRB,North America,Barbados,2022-10-22,103014.0,405.0,62.0,560.0,0.0,0.0,366337.127,1440.256,220.484,1991.465,0.0,0.0,0.33,,,,,,,,,,,,,,,,,,380666.0,163707.0,154789.0,62170.0,,118.0,135.37,58.22,55.05,22.11,420.0,8.0,0.003,,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281200.0,,,,
BLR,Europe,Belarus,2022-10-22,994037.0,0.0,0.0,7118.0,0.0,0.0,103781.537,0.0,0.0,743.148,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,16102869.0,6512843.0,6407148.0,3414776.0,,16583.0,168.12,68.0,66.89,35.65,1731.0,336.0,0.004,,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9578168.0,,,,
BEL,Europe,Belgium,2022-10-22,4602438.0,8100.0,2267.714,32846.0,36.0,10.0,396371.675,697.589,195.3,2828.767,3.1,0.861,1.24,76.0,6.545,1509.0,129.958,,,777.0,66.917,,,,,,,,,,28782590.0,9259345.0,9162012.0,10791542.0,56712.0,57303.0,247.88,79.74,78.91,92.94,4935.0,55.0,0.0,,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11611420.0,,,,
BLZ,North America,Belize,2022-10-22,68926.0,0.0,2.429,687.0,0.0,0.143,172301.647,0.0,6.071,1717.367,0.0,0.357,0.68,,,,,,,,,,,,,,,,,,501100.0,251286.0,220701.0,50947.0,,17.0,125.27,62.82,55.17,12.74,42.0,6.0,0.001,,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,400031.0,,,,
BEN,Africa,Benin,2022-10-22,27782.0,0.0,0.0,163.0,0.0,0.0,2137.587,0.0,0.0,12.541,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895.0,,,,
BMU,North America,Bermuda,2022-10-22,18340.0,0.0,17.143,148.0,0.0,0.0,285736.543,0.0,267.085,2305.835,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64185.0,,,,
BTN,Asia,Bhutan,2022-10-22,62248.0,0.0,6.857,21.0,0.0,0.0,80063.178,0.0,8.82,27.01,0.0,0.0,0.69,,,,,,,,,,,,,,,,,,2010132.0,698881.0,677560.0,633691.0,,353.0,258.54,89.89,87.15,81.51,454.0,39.0,0.005,,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,777486.0,,,,
BOL,South America,Bolivia,2022-10-22,1109171.0,0.0,31.857,22237.0,0.0,0.0,91822.805,0.0,2.637,1840.892,0.0,0.0,0.76,19.0,1.573,102.0,8.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12079472.0,,,,
BES,North America,Bonaire Sint Eustatius and Saba,2022-10-22,11427.0,0.0,4.571,38.0,0.0,0.0,427881.375,0.0,171.176,1422.901,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79,,26706.0,,,,
BIH,Europe,Bosnia and Herzegovina,2022-10-22,399663.0,0.0,36.143,16165.0,0.0,1.286,122185.865,0.0,11.05,4942.0,0.0,0.393,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3270943.0,,,,
BWA,Africa,Botswana,2022-10-22,326344.0,0.0,0.0,2790.0,0.0,0.0,126078.311,0.0,0.0,1077.876,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2588423.0,,,,
BRA,South America,Brazil,2022-10-22,34780462.0,9142.0,4857.143,687527.0,104.0,54.714,162278.145,42.655,22.662,3207.853,0.485,0.255,1.3,,,,,,,,,,,,,,,,,,473101789.0,187385670.0,172339029.0,118811893.0,154.0,2897.0,220.74,87.43,80.41,55.44,14.0,41.0,0.0,,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,214326223.0,,,,
VGB,North America,British Virgin Islands,2022-10-22,7305.0,0.0,0.0,64.0,0.0,0.0,234721.419,0.0,0.0,2056.423,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31122.0,,,,
BRN,Asia,Brunei,2022-10-22,234582.0,2749.0,392.714,225.0,0.0,0.0,526709.073,6172.354,881.765,505.195,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,445373.0,,,,
BGR,Europe,Bulgaria,2022-10-22,1274169.0,220.0,625.286,37821.0,1.0,5.286,185041.16,31.949,90.807,5492.554,0.145,0.768,0.94,44.0,6.39,686.0,99.624,319.0,46.266,4667.0,677.795,,,,,,,,,,4572337.0,2103303.0,2072930.0,,1075.0,948.0,66.4,30.55,30.1,,138.0,47.0,0.001,,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6885868.0,,,,
BFA,Africa,Burkina Faso,2022-10-22,21631.0,0.0,0.0,387.0,0.0,0.0,978.748,0.0,0.0,17.511,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22100683.0,,,,
BDI,Africa,Burundi,2022-10-22,50413.0,0.0,17.714,38.0,0.0,0.0,4016.584,0.0,1.411,3.028,0.0,0.0,0.59,,,,,,,,,,,,,,,,,,24236.0,22314.0,21729.0,47.0,,151.0,0.19,0.18,0.17,0.0,12.0,150.0,0.001,,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12551213.0,,,,
KHM,Asia,Cambodia,2022-10-22,137979.0,0.0,2.286,3056.0,0.0,0.0,8317.488,0.0,0.138,184.218,0.0,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16589023.0,,,,
CMR,Africa,Cameroon,2022-10-22,121652.0,0.0,0.0,1935.0,0.0,0.0,4472.726,0.0,0.0,71.143,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1901047.0,1615128.0,1263716.0,61387.0,,309.0,6.99,5.94,4.65,0.23,11.0,295.0,0.001,,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27198628.0,,,,
CAN,North America,Canada,2022-10-22,4345265.0,761.0,2840.143,46230.0,12.0,42.0,113884.514,19.945,74.437,1211.636,0.315,1.101,1.09,219.0,5.74,3875.0,101.559,,,,,,,,,,,,,,91760269.0,33625594.0,31620912.0,26513763.0,186482.0,76342.0,240.49,88.13,82.87,69.49,2001.0,16531.0,0.043,,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38155012.0,,,,
CPV,Africa,Cape Verde,2022-10-22,62397.0,0.0,0.0,410.0,0.0,0.0,106130.884,0.0,0.0,697.368,0.0,0.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,587925.0,,,,
CYM,North America,Cayman Islands,2022-10-22,30926.0,117.0,16.714,34.0,0.0,0.0,453886.345,1717.154,245.308,499.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68136.0,,,,
CAF,Africa,Central African Republic,2022-10-22,15151.0,194.0,27.714,113.0,0.0,0.0,2776.356,35.55,5.079,20.707,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5457154.0,,,,
TCD,Africa,Chad,2022-10-22,7613.0,0.0,1.143,193.0,0.0,0.0,443.138,0.0,0.067,11.234,0.0,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17179740.0,,,,
CHL,South America,Chile,2022-10-22,4708870.0,5989.0,4928.143,61535.0,22.0,17.571,241564.949,307.236,252.814,3156.744,1.129,0.901,1.26,104.0,5.335,,,34.0,1.744,,,,,,,,,,,,62466903.0,18074097.0,17685235.0,27282283.0,3538.0,3847.0,320.46,92.72,90.73,139.96,197.0,185.0,0.001,,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19493184.0,,,,
CHN,Asia,China,2022-10-22,1019038.0,973.0,950.571,5226.0,0.0,0.0,714.666,0.682,0.667,3.665,0.0,0.0,1.03,,,,,,,,,,,,,,,,,,3438817000.0,,1271711000.0,807832000.0,120000.0,104429.0,241.17,,89.19,56.65,73.0,,,,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425893464.0,,,,
COL,South America,Colombia,2022-10-22,6309168.0,610.0,87.143,141827.0,0.0,1.0,122468.732,11.841,1.692,2753.037,0.0,0.019,1.03,,,,,,,,,,,,,,,,,,89015414.0,42804486.0,36725822.0,14226071.0,,42116.0,172.79,83.09,71.29,27.61,818.0,6398.0,0.012,,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51516562.0,,,,
COM,Africa,Comoros,2022-10-22,8481.0,0.0,0.0,161.0,0.0,0.0,10322.215,0.0,0.0,195.953,0.0,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,821626.0,,,,
COG,Africa,Congo,2022-10-22,24837.0,0.0,0.0,386.0,0.0,0.0,4255.967,0.0,0.0,66.143,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5835806.0,,,,
COK,Oceania,Cook Islands,2022-10-22,6389.0,0.0,0.0,1.0,0.0,0.0,375757.219,0.0,0.0,58.813,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17003.0,,,,
CRI,North America,Costa Rica,2022-10-22,1130568.0,2966.0,438.286,8982.0,0.0,1.143,219359.222,575.48,85.039,1742.739,0.0,0.222,0.95,,,,,,,,,,,,,,,,,,12112439.0,4480428.0,4216761.0,2623652.0,,11337.0,235.01,86.93,81.82,50.91,2200.0,605.0,0.012,,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5153957.0,,,,
CIV,Africa,Cote d'Ivoire,2022-10-22,87693.0,2.0,22.571,827.0,0.0,0.0,3191.361,0.073,0.821,30.097,0.0,0.0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,27478249.0,,,,
HRV,Europe,Croatia,2022-10-22,1244365.0,437.0,426.0,17070.0,10.0,8.286,306483.651,107.632,104.923,4204.294,2.463,2.041,0.87,,,,,,,,,,,,,,,,,,5322158.0,2319113.0,2249256.0,,1108.0,1014.0,131.08,57.12,55.4,,250.0,37.0,0.001,,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4060135.0,,,,
CUB,North America,Cuba,2022-10-22,1111267.0,1.0,2.286,8530.0,0.0,0.0,98723.372,0.089,0.203,757.793,0.0,0.0,0.61,,,,,,,,,,,,,,,,,,42246483.0,10707828.0,9996185.0,8615250.0,13809.0,10592.0,375.31,95.13,88.8,76.54,941.0,200.0,0.002,,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11256372.0,,,,
CUW,North America,Curacao,2022-10-22,45434.0,0.0,4.0,289.0,0.0,0.0,238701.678,0.0,21.015,1518.352,0.0,0.0,,,,,,,,,,,,,,,,,,,255882.0,108539.0,99906.0,47437.0,8.0,7.0,134.44,57.02,52.49,24.92,37.0,3.0,0.002,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,190338.0,,,,
CYP,Europe,Cyprus,2022-10-22,596297.0,2755.0,393.571,1191.0,0.0,0.286,665504.845,3074.753,439.25,1329.231,0.0,0.319,0.66,3.0,3.348,53.0,59.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
CZE,Europe,Czechia,2022-10-22,4151036.0,283.0,1455.429,41492.0,1.0,16.0,394932.426,26.925,138.47,3947.577,0.095,1.522,0.84,66.0,6.279,941.0,89.527,67.0,6.374,1069.0,101.705,,,,,,,,,,18305641.0,6975790.0,6890894.0,4850227.0,19692.0,10779.0,174.16,66.37,65.56,46.15,1026.0,49.0,0.0,,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10510750.0,,,,
COD,Africa,Democratic Republic of Congo,2022-10-22,93027.0,0.0,7.857,1445.0,0.0,0.143,970.101,0.0,0.082,15.069,0.0,0.001,0.55,,,,,,,,,,,,,,,,,,6020452.0,5596451.0,4368502.0,,,8473.0,6.28,5.84,4.56,,88.0,7389.0,0.008,,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,95894118.0,,,,
DNK,Europe,Denmark,2022-10-22,3325947.0,971.0,1190.0,7247.0,13.0,10.571,568126.179,165.863,203.271,1237.906,2.221,1.806,1.1,17.0,2.904,477.0,81.479,,,665.0,113.593,,,,,,,,,,13194615.0,4809681.0,4774187.0,3657077.0,438.0,407.0,225.39,82.16,81.55,62.47,70.0,20.0,0.0,,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5854240.0,,,,
DJI,Africa,Djibouti,2022-10-22,15690.0,0.0,0.0,189.0,0.0,0.0,14191.941,0.0,0.0,170.955,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,267794.0,247171.0,226804.0,,,458.0,24.22,22.36,20.51,,414.0,458.0,0.041,,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1105557.0,,,,
DMA,North America,Dominica,2022-10-22,15760.0,0.0,0.0,74.0,0.0,0.0,217643.485,0.0,0.0,1021.93,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72412.0,,,,
DOM,North America,Dominican Republic,2022-10-22,647205.0,996.0,142.286,4384.0,0.0,0.0,58213.018,89.585,12.798,394.32,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,16073352.0,7287656.0,6054362.0,2479887.0,1986.0,1734.0,144.57,65.55,54.46,22.31,156.0,216.0,0.002,,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11117874.0,,,,
ECU,South America,Ecuador,2022-10-22,1007553.0,631.0,90.143,35908.0,0.0,0.571,56611.298,35.454,5.065,2017.56,0.0,0.032,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,17797737.0,,,,
EGY,Africa,Egypt,2022-10-22,515645.0,0.0,0.0,24798.0,0.0,0.143,4719.337,0.0,0.0,226.959,0.0,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,109262178.0,,,,
SLV,North America,El Salvador,2022-10-22,201785.0,0.0,0.0,4230.0,0.0,0.0,31957.501,0.0,0.0,669.922,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6314167.0,,,,
OWID_ENG,Europe,England,2022-10-19,,,,,,,,,,,,,,206.0,3.643,10387.0,183.678,,,7809.0,138.09,,,,,,,,,,136081903.0,45300652.0,42755779.0,49669800.0,159978.0,355962.0,240.64,80.11,75.61,87.83,6295.0,1944.0,0.003,,,,,,,,,,,,,,,,56550000.0,,,,
GNQ,Africa,Equatorial Guinea,2022-10-22,17133.0,0.0,7.429,183.0,0.0,0.0,10482.323,0.0,4.545,111.963,0.0,0.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1634466.0,,,,
ERI,Africa,Eritrea,2022-10-22,10185.0,0.0,0.429,103.0,0.0,0.0,2813.293,0.0,0.118,28.451,0.0,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3620312.0,,,,
EST,Europe,Estonia,2022-10-22,605622.0,1070.0,152.857,2729.0,16.0,2.286,455800.063,805.298,115.043,2053.886,12.042,1.72,1.06,7.0,5.268,235.0,176.864,3.0,2.256,179.0,134.58,,,,,,,,,,2065454.0,867449.0,846865.0,555312.0,810.0,773.0,155.45,65.29,63.74,41.79,582.0,27.0,0.002,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1328701.0,,,,
SWZ,Africa,Eswatini,2022-10-22,73436.0,0.0,0.0,1422.0,0.0,0.0,61593.379,0.0,0.0,1192.682,0.0,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1192271.0,,,,
ETH,Africa,Ethiopia,2022-10-22,493864.0,27.0,11.857,7572.0,0.0,0.0,4105.849,0.224,0.099,62.952,0.0,0.0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,120283026.0,,,,
OWID_EUR,,Europe,2022-10-22,234891003.0,46942.0,246409.857,1956183.0,224.0,802.714,313750.571,62.702,329.137,2612.929,0.299,1.072,,,,,,,,,,,,,,,,,,,1339365838.0,519710795.0,496859963.0,337916119.0,303370.0,399693.0,178.9,69.42,66.37,45.14,534.0,44010.0,0.006,,,,,,,,,,,,,,,,748655221.0,,,,
