iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,link
AFG,Asia,Afghanistan,2023-03-21,209848,72,40.857,7881,0,0.0,5102.219,1.751,0.993,191.618,0.0,0.0,,,,,,,,,,,,,,,,,,,16482384,14444587,13730545,1012162,,33104,40.08,35.12,33.38,2.46,805,26347,0.064,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772,,,,,<a href='#card=AFG'>Afghanistan</a>
ALB,Europe,Albania,2023-03-21,333726,10,9.143,3601,0,0.143,117413.323,3.518,3.217,1266.924,0.0,0.05,,,,,,,,,,,,,,,,,,,3070468,1347054,1276432,395384,,294,108.03,47.39,44.91,13.91,103,31,0.001,,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318,,,,,<a href='#card=ALB'>Albania</a>
DZA,Africa,Algeria,2023-03-21,271542,0,2.857,6881,0,0.0,6047.271,0.0,0.064,153.241,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228,,,,,<a href='#card=DZA'>Algeria</a>
ASM,Oceania,American Samoa,2023-03-21,8321,0,0.0,34,0,0.0,187854.16,0.0,0.0,767.581,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.205,,,,,,283.75,,,,,,73.74,,44295,,,,,<a href='#card=ASM'>American Samoa</a>
AND,Europe,Andorra,2023-03-21,47908,0,1.429,159,0,0.0,600027.554,0.0,17.892,1991.408,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79843,,,,,<a href='#card=AND'>Andorra</a>
AGO,Africa,Angola,2023-03-21,105298,0,0.0,1933,0,0.0,2958.724,0.0,0.0,54.315,0.0,0.0,,,,,,,,,,,,,,,,,,,24798317,15477545,8610500,1842388,,15036,69.68,43.49,24.19,5.18,422,6562,0.018,,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996,,,,,<a href='#card=AGO'>Angola</a>
AIA,North America,Anguilla,2023-03-21,3904,0,0.0,12,0,0.0,245890.282,0.0,0.0,755.81,0.0,0.0,,,,,,,,,,,,,,,,,,,,10854,10380,,,,,68.36,65.38,,,0,0.0,,,,,,,,,,,,,,81.88,,15877,,,,,<a href='#card=AIA'>Anguilla</a>
ATG,North America,Antigua and Barbuda,2023-03-21,9106,0,0.0,146,0,0.0,97107.879,0.0,0.0,1556.968,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772,,,,,<a href='#card=ATG'>Antigua and Barbuda</a>
ARG,South America,Argentina,2023-03-24,10044957,0,0.0,130472,0,0.0,220718.205,0.0,0.0,2866.866,0.0,0.0,,,,,,,,,,,,,,,,,,,115160082,41481971,34862109,35986580,1213,5982,253.04,91.15,76.6,79.07,131,103,0.0,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324,,,,,<a href='#card=ARG'>Argentina</a>
ARM,Asia,Armenia,2023-03-21,447730,0,0.0,8732,0,0.0,161026.617,0.0,0.0,3140.474,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472,,,,,<a href='#card=ARM'>Armenia</a>
ABW,North America,Aruba,2023-03-24,44082,0,0.0,286,0,0.0,414074.902,0.0,0.0,2686.48,0.0,0.0,,,,,,,,,,,,,,,,,,,174527,90349,84178,,13,7,163.94,84.87,79.07,,66,4,0.004,,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,<a href='#card=ABW'>Aruba</a>
AUS,Oceania,Australia,2023-03-23,11380700,0,0.0,19447,0,0.0,434752.712,0.0,0.0,742.892,0.0,0.0,,35,1.337,1440,55.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410,,,,,<a href='#card=AUS'>Australia</a>
AUT,Europe,Austria,2023-03-26,6003506,1678,3840.714,22043,0,3.143,671561.88,187.704,429.629,2465.766,0.0,0.352,,55,6.152,1099,122.936,,,,,,,,,,,,,,20447637,6899073,6682331,5404258,,497,228.73,77.17,74.75,60.45,56,9,0.0,,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,<a href='#card=AUT'>Austria</a>
AZE,Asia,Azerbaijan,2023-03-21,829271,6,46.429,10153,0,1.286,80060.316,0.579,4.482,980.201,0.0,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078,,,,,<a href='#card=AZE'>Azerbaijan</a>
BHS,North America,Bahamas,2023-03-21,37491,0,0.0,833,0,0.0,91443.917,0.0,0.0,2031.762,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989,,,,,<a href='#card=BHS'>Bahamas</a>
BHR,Asia,Bahrain,2023-03-21,696614,0,0.0,1536,0,0.0,473167.024,0.0,0.0,1043.31,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1472237,,,,,<a href='#card=BHR'>Bahrain</a>
BGD,Asia,Bangladesh,2023-03-21,2037978,4,5.714,29445,0,0.0,11905.025,0.023,0.033,172.006,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368,,,,,<a href='#card=BGD'>Bangladesh</a>
BRB,North America,Barbados,2023-03-21,106798,0,0.0,579,0,0.0,379192.319,0.0,0.0,2055.772,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,<a href='#card=BRB'>Barbados</a>
BLR,Europe,Belarus,2023-03-21,994037,0,0.0,7118,0,0.0,104251.871,0.0,0.0,746.516,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9534956,,,,,<a href='#card=BLR'>Belarus</a>
BEL,Europe,Belgium,2023-03-22,4757448,0,637.429,33885,0,2.286,408157.123,0.0,54.687,2907.106,0.0,0.196,,117,10.038,2149,184.37,,,995,85.364,,,,,,,,,,29628558,9265994,9168361,11624859,184,159,254.19,79.5,78.66,99.73,14,10,0.0,,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,,<a href='#card=BEL'>Belgium</a>
BLZ,North America,Belize,2023-03-21,70782,0,0.0,688,0,0.0,174647.47,0.0,0.0,1697.571,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,51295,,,,,,12.66,,,,,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285,,,,,<a href='#card=BLZ'>Belize</a>
BEN,Africa,Benin,2023-03-21,27999,0,0.0,163,0,0.0,2096.854,0.0,0.0,12.207,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864,,,,,<a href='#card=BEN'>Benin</a>
BMU,North America,Bermuda,2023-03-21,18836,0,1.143,161,0,0.143,293363.652,0.0,17.8,2507.515,0.0,2.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64207,,,,,<a href='#card=BMU'>Bermuda</a>
BTN,Asia,Bhutan,2023-03-21,62647,0,1.429,21,0,0.0,80064.464,0.0,1.826,26.839,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457,,,,,<a href='#card=BTN'>Bhutan</a>
BOL,South America,Bolivia,2023-03-21,1195171,59,79.714,22368,0,0.143,97771.585,4.827,6.521,1829.826,0.0,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,<a href='#card=BOL'>Bolivia</a>
BES,North America,Bonaire Sint Eustatius and Saba,2023-03-21,11811,0,0.0,41,0,0.0,436603.578,0.0,0.0,1515.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79,,27052,,,,,<a href='#card=BES'>Bonaire Sint Eustatius and Saba</a>
BIH,Europe,Bosnia and Herzegovina,2023-03-21,401973,2,12.286,16296,2,1.0,124313.985,0.619,3.799,5039.693,0.619,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530,,,,,<a href='#card=BIH'>Bosnia and Herzegovina</a>
BWA,Africa,Botswana,2023-03-21,329785,0,0.0,2795,0,0.0,125379.234,0.0,0.0,1062.616,0.0,0.0,,,,,,,,,,,,,,,,,,,3171667,1945438,1648426,505201,,0,120.58,73.96,62.67,19.21,0,460,0.017,,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,<a href='#card=BWA'>Botswana</a>
BRA,South America,Brazil,2023-03-22,37145514,0,0.0,699634,0,0.0,172518.274,0.0,0.0,3249.374,0.0,0.0,,,,,,,,,,,,,,,,,,,486436436,189643431,176164186,126388587,24197,32730,225.92,88.08,81.82,58.7,152,5685,0.003,,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504,,,,,<a href='#card=BRA'>Brazil</a>
VGB,North America,British Virgin Islands,2023-03-21,7305,0,0.0,64,0,0.0,233148.219,0.0,0.0,2042.64,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332,,,,,<a href='#card=VGB'>British Virgin Islands</a>
BRN,Asia,Brunei,2023-03-21,280790,0,0.0,150,0,0.0,625364.698,0.0,0.0,334.074,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,449002,,,,,<a href='#card=BRN'>Brunei</a>
BGR,Europe,Bulgaria,2023-03-24,1298608,200,106.286,38240,4,1.143,191479.89,29.49,15.672,5638.492,0.59,0.169,,29,4.276,248,36.568,,,,,,,,,,,,,,4610360,2107140,2076482,,66,59,67.98,31.07,30.62,,9,18,0.0,,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955,,,,,<a href='#card=BGR'>Bulgaria</a>
BFA,Africa,Burkina Faso,2023-03-21,22056,0,0.0,396,0,0.0,972.754,0.0,0.0,17.465,0.0,0.0,,,,,,,,,,,,,,,,,,,6674010,5152110,4129254,,,29215,29.43,22.72,18.21,,1288,22181,0.098,,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764,,,,,<a href='#card=BFA'>Burkina Faso</a>
BDI,Africa,Burundi,2023-03-21,53661,0,0.0,15,0,0.0,4163.129,0.0,0.0,1.164,0.0,0.0,,,,,,,,,,,,,,,,,,,35772,33814,33225,297,,32,0.28,0.26,0.26,0.0,2,32,0.0,,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583,,,,,<a href='#card=BDI'>Burundi</a>
KHM,Asia,Cambodia,2023-03-21,138721,0,0.143,3056,0,0.0,8273.034,0.0,0.009,182.254,0.0,0.0,,,,,,,,,,,,,,,,,,,46695609,15278581,14647871,10606414,,28961,278.48,91.12,87.36,63.25,1727,218,0.001,,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851,,,,,<a href='#card=KHM'>Cambodia</a>
CMR,Africa,Cameroon,2023-03-21,124679,0,0.0,1968,0,0.0,4466.453,0.0,0.0,70.501,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542,,,,,<a href='#card=CMR'>Cameroon</a>
CAN,North America,Canada,2023-03-21,4618059,8510,1215.714,51800,148,21.143,120092.048,221.301,31.614,1347.053,3.849,0.55,,142,3.693,3474,90.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328,,,,,<a href='#card=CAN'>Canada</a>
CPV,Africa,Cape Verde,2023-03-21,63251,0,0.857,413,0,0.0,106633.601,0.0,1.445,696.268,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162,,,,,<a href='#card=CPV'>Cape Verde</a>
CYM,North America,Cayman Islands,2023-03-21,31472,0,0.0,37,0,0.0,457961.061,0.0,0.0,538.401,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,<a href='#card=CYM'>Cayman Islands</a>
CAF,Africa,Central African Republic,2023-03-21,15367,0,0.0,113,0,0.0,2754.363,0.0,0.0,20.254,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148,,,,,<a href='#card=CAF'>Central African Republic</a>
TCD,Africa,Chad,2023-03-21,7682,0,0.0,194,0,0.0,433.44,0.0,0.0,10.946,0.0,0.0,,,,,,,,,,,,,,,,,,,6393769,6254729,6127422,4042573,,90,36.08,35.29,34.57,22.81,5,90,0.001,,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312,,,,,<a href='#card=TCD'>Chad</a>
CHL,South America,Chile,2023-03-24,5233460,2419,3868.571,64407,15,12.0,266962.379,123.395,197.338,3285.445,0.765,0.612,,73,3.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736,,,,,<a href='#card=CHL'>Chile</a>
CHN,Asia,China,2023-03-21,99229372,4868,8720.857,120775,43,37.857,69591.312,3.414,6.116,84.702,0.03,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360,,,,,<a href='#card=CHN'>China</a>
COL,South America,Colombia,2023-03-21,6361293,513,73.286,142652,13,1.857,122629.633,9.889,1.413,2749.97,0.251,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,,<a href='#card=COL'>Colombia</a>
COM,Africa,Comoros,2023-03-21,9048,0,0.0,160,0,0.0,10812.839,0.0,0.0,191.208,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783,,,,,<a href='#card=COM'>Comoros</a>
COG,Africa,Congo,2023-03-21,25110,0,0.0,388,0,0.0,4205.727,0.0,0.0,64.987,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430,,,,,<a href='#card=COG'>Congo</a>
COK,Oceania,Cook Islands,2023-03-21,7033,0,0.0,2,0,0.0,412928.605,0.0,0.0,117.426,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032,,,,,<a href='#card=COK'>Cook Islands</a>
CRI,North America,Costa Rica,2023-03-21,1219074,4423,631.857,9291,25,3.571,235304.495,853.723,121.96,1793.34,4.825,0.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836,,,,,<a href='#card=CRI'>Costa Rica</a>
CIV,Africa,Cote d'Ivoire,2023-03-21,88289,0,1.714,834,0,0.0,3135.202,0.0,0.061,29.616,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548,,,,,<a href='#card=CIV'>Cote d'Ivoire</a>
HRV,Europe,Croatia,2023-03-21,1270075,388,55.429,18025,19,2.714,315126.858,96.269,13.753,4472.304,4.714,0.673,,,,,,,,,,,,,,,,,,,5360979,2321336,2251283,,,37,133.01,57.6,55.86,,9,5,0.0,,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361,,,,,<a href='#card=HRV'>Croatia</a>
CUB,North America,Cuba,2023-03-24,1112724,27,8.143,8530,0,0.0,99242.272,2.408,0.726,760.779,0.0,0.0,,,,,,,,,,,,,,,,,,,43826027,10731324,10010298,8712828,12136,6964,390.88,95.71,89.28,77.71,621,116,0.001,,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198,,,,,<a href='#card=CUB'>Cuba</a>
CUW,North America,Curacao,2023-03-21,45787,0,0.0,301,0,0.0,239505.579,0.0,0.0,1574.49,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173,,,,,<a href='#card=CUW'>Curacao</a>
CYP,Europe,Cyprus,2023-03-21,653667,1281,183.0,1341,0,0.857,729533.363,1429.676,204.239,1496.64,0.0,0.957,,10,11.161,41,45.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,,<a href='#card=CYP'>Cyprus</a>
CZE,Europe,Czechia,2023-03-26,4627435,1304,748.0,42576,1,7.0,440960.493,124.262,71.279,4057.179,0.095,0.667,,31,2.954,469,44.692,37,3.526,702,66.895,,,,,,,,,,18621253,6976014,6892587,5163847,26,108,177.45,66.48,65.68,49.21,10,11,0.0,,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,,<a href='#card=CZE'>Czechia</a>
COD,Africa,Democratic Republic of Congo,2023-03-21,95814,0,0.0,1464,0,0.0,967.718,0.0,0.0,14.786,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216,,,,,<a href='#card=COD'>Democratic Republic of Congo</a>
DNK,Europe,Denmark,2023-03-24,3405709,197,168.857,8330,0,2.571,578979.776,33.491,28.706,1416.123,0.0,0.437,,7,1.19,305,51.851,,,434,73.781,,,,,,,,,,13129964,4781611,4746332,3647907,24,20,223.21,81.29,80.69,62.02,3,4,0.0,,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,,<a href='#card=DNK'>Denmark</a>
DJI,Africa,Djibouti,2023-03-21,15690,0,0.0,189,0,0.0,13998.292,0.0,0.0,168.622,0.0,0.0,,,,,,,,,,,,,,,,,,,389246,368620,348255,,,109,34.73,32.89,31.07,,97,109,0.01,,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851,,,,,<a href='#card=DJI'>Djibouti</a>
DMA,North America,Dominica,2023-03-21,15760,0,0.0,74,0,0.0,216608.483,0.0,0.0,1017.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758,,,,,<a href='#card=DMA'>Dominica</a>
DOM,North America,Dominican Republic,2023-03-21,660848,0,0.0,4384,0,0.0,58852.839,0.0,0.0,390.424,0.0,0.0,,,,,,,,,,,,,,,,,,,16258622,7313207,6086638,2541220,1200,912,144.79,65.13,54.21,22.63,81,132,0.001,,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821,,,,,<a href='#card=DOM'>Dominican Republic</a>
ECU,South America,Ecuador,2023-03-21,1058004,0,0.0,36016,0,0.0,58774.728,0.0,0.0,2000.778,0.0,0.0,,,,,,,,,,,,,,,,,,,39553614,15333174,14239501,10546129,,3586,219.73,85.18,79.1,58.59,199,248,0.001,,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002,,,,,<a href='#card=ECU'>Ecuador</a>
EGY,Africa,Egypt,2023-03-21,515852,29,8.571,24819,2,0.571,4647.73,0.261,0.077,223.615,0.018,0.005,,,,,,,,,,,,,,,,,,,108156977,56068339,41695167,13906497,,126853,97.45,50.52,37.57,12.53,1143,43476,0.039,,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096,,,,,<a href='#card=EGY'>Egypt</a>
SLV,North America,El Salvador,2023-03-21,201785,0,0.0,4230,0,0.0,31845.405,0.0,0.0,667.572,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393,,,,,<a href='#card=SLV'>El Salvador</a>
GNQ,Africa,Equatorial Guinea,2023-03-21,17130,0,0.0,183,0,0.0,10227.379,0.0,0.0,109.259,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916,,,,,<a href='#card=GNQ'>Equatorial Guinea</a>
ERI,Africa,Eritrea,2023-03-21,10189,0,0.0,103,0,0.0,2765.713,0.0,0.0,27.958,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041,,,,,<a href='#card=ERI'>Eritrea</a>
EST,Europe,Estonia,2023-03-21,615727,0,0.0,2949,0,0.0,464326.759,0.0,0.0,2223.875,0.0,0.0,,2,1.508,144,108.592,1,0.751,115,86.35,,,,,,,,,,2110634,869220,861513,599419,43,36,159.17,65.55,64.97,45.2,27,5,0.0,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064,,,,,<a href='#card=EST'>Estonia</a>
SWZ,Africa,Eswatini,2023-03-21,74323,0,0.0,1425,0,0.0,61849.244,0.0,0.0,1185.84,0.0,0.0,,,,,,,,,,,,,,,,,,,841545,511632,419116,167624,,402,70.03,42.58,34.88,13.95,335,0,0.0,,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680,,,,,<a href='#card=SWZ'>Eswatini</a>
ETH,Africa,Ethiopia,2023-03-21,500212,0,6.143,7572,0,0.0,4054.241,0.0,0.05,61.371,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,<a href='#card=ETH'>Ethiopia</a>
FRO,Europe,Faeroe Islands,2023-03-21,34658,0,0.0,28,0,0.0,652484.139,0.0,0.0,527.138,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.308,,,,,,,,,,,,80.67,,53117,,,,,<a href='#card=FRO'>Faeroe Islands</a>
FLK,South America,Falkland Islands,2023-03-21,1923,0,0.0,,0,0.0,505919.495,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801,,,,,<a href='#card=FLK'>Falkland Islands</a>
FJI,Oceania,Fiji,2023-03-21,68904,0,0.857,883,0,0.0,74108.73,0.0,0.922,949.698,0.0,0.0,,,,,,,,,,,,,,,,,,,1554273,711931,641052,171542,,4,167.17,76.57,68.95,18.45,4,1,0.0,,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769,,,,,<a href='#card=FJI'>Fiji</a>
FIN,Europe,Finland,2023-03-22,1464294,0,19.571,8990,0,0.143,264277.457,0.0,3.532,1622.525,0.0,0.026,,,,,,,,,,,,,,,,,,,13207055,4524368,4347937,4334750,,290,238.36,81.66,78.47,78.23,52,7,0.0,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745,,,,,<a href='#card=FIN'>Finland</a>
