iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity,link
SVN,Europe,Slovenia,2022-03-20,936847,1474,2718.143,6442,7,4.571,450683.905,709.089,1307.602,3099.018,3.367,2.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078723,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,,,,,0.23,<a href='#card=SVN'>Slovenia</a>
SOM,Africa,Somalia,2022-03-20,26410,0,1.429,1361,0,0.286,1614.353,0.0,0.087,83.193,0.0,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16359500,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,,0.0,<a href='#card=SOM'>Somalia</a>
ZAF,Africa,South Africa,2022-03-20,3704218,889,1387.714,99881,2,22.286,61693.785,14.806,23.112,1663.519,0.033,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60041996,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,,,,0.07,<a href='#card=ZAF'>South Africa</a>
OWID_SAM,,South America,2022-03-20,55598357,32088,60726.714,1271606,290,530.429,128030.073,73.891,139.839,2928.213,0.668,1.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260137,,,,,,,,,,,,,,,,,,,0.41,<a href='#card=OWID_SAM'>South America</a>
KOR,Asia,South Korea,2022-03-20,9582815,209169,388084.714,12757,329,308.857,186780.638,4076.956,7564.24,248.649,6.413,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.5,<a href='#card=KOR'>South Korea</a>
SSD,Africa,South Sudan,2022-03-20,17093,0,4.571,138,0,0.0,1501.839,0.0,0.402,12.125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11381377,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,,0.0,<a href='#card=SSD'>South Sudan</a>
ESP,Europe,Spain,2022-03-20,11324637,,,101703,,,242263.042,,,2175.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46745211,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,,0.17,<a href='#card=ESP'>Spain</a>
LKA,Asia,Sri Lanka,2022-03-20,658197,236,308.0,16431,5,4.857,30617.65,10.978,14.327,764.328,0.233,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497306,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,,0.28,<a href='#card=LKA'>Sri Lanka</a>
SDN,Africa,Sudan,2022-03-20,61775,0,17.143,4888,,,1375.549,0.0,0.382,108.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44909351,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,,0.0,<a href='#card=SDN'>Sudan</a>
SWE,Europe,Sweden,2022-03-20,2475687,,,18053,,,243666.167,,,1776.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10160159,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,,0.03,<a href='#card=SWE'>Sweden</a>
CHE,Europe,Switzerland,2022-03-20,3268953,,,13423,95,22.429,375073.748,,,1540.131,10.9,2.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715494,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,,0.3,<a href='#card=CHE'>Switzerland</a>
SYR,Asia,Syria,2022-03-20,55558,20,27.429,3127,2,1.429,3039.992,1.094,1.501,171.101,0.109,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18275704,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,,,,0.0,<a href='#card=SYR'>Syria</a>
TWN,Asia,Taiwan,2022-03-20,21905,121,88.143,853,0,0.0,918.256,5.072,3.695,35.758,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23855008,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,,0.5,<a href='#card=TWN'>Taiwan</a>
TJK,Asia,Tajikistan,2022-03-20,17786,0,0.0,125,0,0.0,1824.275,0.0,0.0,12.821,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,,0.0,<a href='#card=TJK'>Tajikistan</a>
TZA,Africa,Tanzania,2022-03-20,33773,0,6.714,800,0,0.0,549.168,0.0,0.109,13.008,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61498438,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,,0.0,<a href='#card=TZA'>Tanzania</a>
THA,Asia,Thailand,2022-03-20,3377410,23441,24350.714,24334,88,79.429,48282.62,335.107,348.112,347.873,1.258,1.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,,0.43,<a href='#card=THA'>Thailand</a>
TLS,Asia,Timor,2022-03-20,22801,0,1.714,129,0,0.0,16966.608,0.0,1.276,95.991,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343875,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,,0.0,<a href='#card=TLS'>Timor</a>
TGO,Africa,Togo,2022-03-20,36878,2,3.429,272,0,0.0,4349.723,0.236,0.404,32.082,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8478242,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,,,,0.0,<a href='#card=TGO'>Togo</a>
TTO,North America,Trinidad and Tobago,2022-03-20,135097,219,309.143,3712,4,4.0,96265.856,156.052,220.285,2645.054,2.85,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403374,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,,0.21,<a href='#card=TTO'>Trinidad and Tobago</a>
TUN,Africa,Tunisia,2022-03-20,1029762,,,28065,0,2.714,86275.332,,,2351.337,0.0,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11935764,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.14,<a href='#card=TUN'>Tunisia</a>
TUR,Asia,Turkey,2022-03-20,14693917,13081,20321.714,97267,85,111.429,172782.741,153.817,238.959,1143.743,0.999,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85042736,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,,0.23,<a href='#card=TUR'>Turkey</a>
TKM,Asia,Turkmenistan,2021-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,,,,,0.0,<a href='#card=TKM'>Turkmenistan</a>
UGA,Africa,Uganda,2022-03-20,163688,53,22.714,3595,0,0.143,3473.594,1.125,0.482,76.289,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0,<a href='#card=UGA'>Uganda</a>
UKR,Europe,Ukraine,2022-03-20,5040518,0,0.0,112459,0,0.0,115962.423,0.0,0.0,2587.238,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43466822,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,,0.21,<a href='#card=UKR'>Ukraine</a>
ARE,Asia,United Arab Emirates,2022-03-20,887732,347,332.143,2302,0,0.0,88852.43,34.731,33.244,230.405,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9991083,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,0.13,<a href='#card=ARE'>United Arab Emirates</a>
GBR,Europe,United Kingdom,2022-03-20,20154286,,,163658,,,295486.568,,,2399.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,,0.3,<a href='#card=GBR'>United Kingdom</a>
USA,North America,United States,2022-03-20,79734788,6623,29892.0,971162,75,,239504.889,19.894,89.789,2917.146,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,0.25,<a href='#card=USA'>United States</a>
OWID_UMC,,Upper middle income,2022-03-20,123063399,120686,177727.714,2476144,1131,1578.0,48957.605,48.012,70.704,985.07,0.45,0.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2513672790,,,,,,,,,,,,,,,,,,,0.4,<a href='#card=OWID_UMC'>Upper middle income</a>
URY,South America,Uruguay,2022-03-20,875313,909,1562.429,7138,4,6.143,251154.899,260.821,448.31,2048.117,1.148,1.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485152,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,,,,,0.29,<a href='#card=URY'>Uruguay</a>
UZB,Asia,Uzbekistan,2022-03-20,237476,38,34.0,1637,0,0.0,6997.809,1.12,1.002,48.238,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33935765,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,,,0.1,<a href='#card=UZB'>Uzbekistan</a>
VEN,South America,Venezuela,2022-03-20,519670,250,180.0,5668,2,1.429,18103.848,8.709,6.271,197.457,0.07,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28704947,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,,0.0,<a href='#card=VEN'>Venezuela</a>
VNM,Asia,Vietnam,2022-03-20,7958048,166207,263628.571,41880,63,70.714,81064.917,1693.073,2685.461,426.612,0.642,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98168829,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,,,,,0.32,<a href='#card=VNM'>Vietnam</a>
OWID_WRL,,World,2022-03-20,470736464,1023012,1769404.857,6077531,2971,5166.857,59776.319,129.907,224.687,771.753,0.377,0.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7874965730,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,,0.35,<a href='#card=OWID_WRL'>World</a>
YEM,Asia,Yemen,2022-03-20,11801,2,2.429,2140,0,0.143,387.037,0.066,0.08,70.185,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30490639,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,,0.0,<a href='#card=YEM'>Yemen</a>
ZMB,Africa,Zambia,2022-03-20,315623,,,3962,0,0.286,16681.397,,,209.401,0.0,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18920657,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,,,,,0.03,<a href='#card=ZMB'>Zambia</a>
ZWE,Africa,Zimbabwe,2022-03-20,244452,,,5426,0,1.714,16197.272,,,359.524,0.0,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.09,<a href='#card=ZWE'>Zimbabwe</a>
